Size,Latency(us),Benchmark
65536,4.43,latency-1-node-baremetal-calico-CNI
131072,7.97,latency-1-node-baremetal-calico-CNI
262144,16.07,latency-1-node-baremetal-calico-CNI
524288,32.31,latency-1-node-baremetal-calico-CNI
1048576,66.89,latency-1-node-baremetal-calico-CNI
2097152,220.18,latency-1-node-baremetal-calico-CNI
4194304,579.4,latency-1-node-baremetal-calico-CNI
2,0.41,latency-1-node-baremetal-calico-CNI
4,0.41,latency-1-node-baremetal-calico-CNI
8,0.4,latency-1-node-baremetal-calico-CNI
16,0.42,latency-1-node-baremetal-calico-CNI
32,0.49,latency-1-node-baremetal-calico-CNI
64,0.49,latency-1-node-baremetal-calico-CNI
128,0.52,latency-1-node-baremetal-calico-CNI
256,0.54,latency-1-node-baremetal-calico-CNI
512,0.58,latency-1-node-baremetal-calico-CNI
1024,0.65,latency-1-node-baremetal-calico-CNI
2048,0.74,latency-1-node-baremetal-calico-CNI
4096,1.06,latency-1-node-baremetal-calico-CNI
8192,1.62,latency-1-node-baremetal-calico-CNI
16384,1.99,latency-1-node-baremetal-calico-CNI
32768,2.8,latency-1-node-baremetal-calico-CNI
65536,4.39,latency-1-node-baremetal-calico-CNI
131072,7.82,latency-1-node-baremetal-calico-CNI
262144,15.81,latency-1-node-baremetal-calico-CNI
524288,32.54,latency-1-node-baremetal-calico-CNI
1048576,70.57,latency-1-node-baremetal-calico-CNI
2097152,237.09,latency-1-node-baremetal-calico-CNI
4194304,589.62,latency-1-node-baremetal-calico-CNI
2,0.38,latency-1-node-baremetal-flannel-CNI
4,0.39,latency-1-node-baremetal-flannel-CNI
8,0.4,latency-1-node-baremetal-flannel-CNI
16,0.41,latency-1-node-baremetal-flannel-CNI
32,0.5,latency-1-node-baremetal-flannel-CNI
64,0.48,latency-1-node-baremetal-flannel-CNI
128,0.55,latency-1-node-baremetal-flannel-CNI
256,0.54,latency-1-node-baremetal-flannel-CNI
512,0.58,latency-1-node-baremetal-flannel-CNI
1024,0.63,latency-1-node-baremetal-flannel-CNI
2048,0.74,latency-1-node-baremetal-flannel-CNI
4096,1.05,latency-1-node-baremetal-flannel-CNI
8192,1.56,latency-1-node-baremetal-flannel-CNI
16384,1.96,latency-1-node-baremetal-flannel-CNI
32768,2.7,latency-1-node-baremetal-flannel-CNI
65536,4.92,latency-1-node-baremetal-flannel-CNI
131072,7.93,latency-1-node-baremetal-flannel-CNI
262144,15.4,latency-1-node-baremetal-flannel-CNI
524288,30.49,latency-1-node-baremetal-flannel-CNI
1048576,63.38,latency-1-node-baremetal-flannel-CNI
2097152,216.35,latency-1-node-baremetal-flannel-CNI
4194304,568.34,latency-1-node-baremetal-flannel-CNI
2,0.42,latency-1-node-baremetal-flannel-CNI
4,0.42,latency-1-node-baremetal-flannel-CNI
8,0.43,latency-1-node-baremetal-flannel-CNI
16,0.43,latency-1-node-baremetal-flannel-CNI
32,0.51,latency-1-node-baremetal-flannel-CNI
64,0.5,latency-1-node-baremetal-flannel-CNI
128,0.53,latency-1-node-baremetal-flannel-CNI
256,0.68,latency-1-node-baremetal-flannel-CNI
512,0.59,latency-1-node-baremetal-flannel-CNI
1024,0.64,latency-1-node-baremetal-flannel-CNI
2048,0.76,latency-1-node-baremetal-flannel-CNI
4096,1.07,latency-1-node-baremetal-flannel-CNI
8192,1.66,latency-1-node-baremetal-flannel-CNI
16384,1.98,latency-1-node-baremetal-flannel-CNI
32768,2.83,latency-1-node-baremetal-flannel-CNI
65536,4.64,latency-1-node-baremetal-flannel-CNI
131072,8.08,latency-1-node-baremetal-flannel-CNI
262144,15.97,latency-1-node-baremetal-flannel-CNI
524288,31.26,latency-1-node-baremetal-flannel-CNI
1048576,64.73,latency-1-node-baremetal-flannel-CNI
2097152,220.03,latency-1-node-baremetal-flannel-CNI
4194304,562.86,latency-1-node-baremetal-flannel-CNI
2,0.39,latency-1-node-baremetal-flannel-CNI
4,0.39,latency-1-node-baremetal-flannel-CNI
8,0.41,latency-1-node-baremetal-flannel-CNI
16,0.41,latency-1-node-baremetal-flannel-CNI
32,0.5,latency-1-node-baremetal-flannel-CNI
64,0.49,latency-1-node-baremetal-flannel-CNI
128,0.55,latency-1-node-baremetal-flannel-CNI
256,0.61,latency-1-node-baremetal-flannel-CNI
512,0.61,latency-1-node-baremetal-flannel-CNI
1024,0.66,latency-1-node-baremetal-flannel-CNI
2048,0.77,latency-1-node-baremetal-flannel-CNI
4096,1.1,latency-1-node-baremetal-flannel-CNI
8192,1.62,latency-1-node-baremetal-flannel-CNI
16384,2.05,latency-1-node-baremetal-flannel-CNI
32768,2.83,latency-1-node-baremetal-flannel-CNI
65536,4.4,latency-1-node-baremetal-flannel-CNI
131072,7.9,latency-1-node-baremetal-flannel-CNI
262144,15.87,latency-1-node-baremetal-flannel-CNI
524288,30.71,latency-1-node-baremetal-flannel-CNI
1048576,64.81,latency-1-node-baremetal-flannel-CNI
2097152,213.94,latency-1-node-baremetal-flannel-CNI
4194304,556.43,latency-1-node-baremetal-flannel-CNI
2,0.39,latency-1-node-baremetal-flannel-CNI
4,0.39,latency-1-node-baremetal-flannel-CNI
8,0.4,latency-1-node-baremetal-flannel-CNI
16,0.41,latency-1-node-baremetal-flannel-CNI
32,0.49,latency-1-node-baremetal-flannel-CNI
64,0.47,latency-1-node-baremetal-flannel-CNI
128,0.51,latency-1-node-baremetal-flannel-CNI
256,0.52,latency-1-node-baremetal-flannel-CNI
512,0.56,latency-1-node-baremetal-flannel-CNI
1024,0.61,latency-1-node-baremetal-flannel-CNI
2048,0.73,latency-1-node-baremetal-flannel-CNI
4096,1.04,latency-1-node-baremetal-flannel-CNI
8192,1.58,latency-1-node-baremetal-flannel-CNI
16384,1.91,latency-1-node-baremetal-flannel-CNI
32768,2.59,latency-1-node-baremetal-flannel-CNI
65536,4.27,latency-1-node-baremetal-flannel-CNI
131072,7.59,latency-1-node-baremetal-flannel-CNI
262144,15.44,latency-1-node-baremetal-flannel-CNI
524288,30.55,latency-1-node-baremetal-flannel-CNI
1048576,67.18,latency-1-node-baremetal-flannel-CNI
2097152,219.75,latency-1-node-baremetal-flannel-CNI
4194304,564.0,latency-1-node-baremetal-flannel-CNI
2,0.4,latency-1-node-baremetal-flannel-CNI
4,0.4,latency-1-node-baremetal-flannel-CNI
8,0.41,latency-1-node-baremetal-flannel-CNI
16,0.41,latency-1-node-baremetal-flannel-CNI
32,0.49,latency-1-node-baremetal-flannel-CNI
64,0.49,latency-1-node-baremetal-flannel-CNI
128,0.51,latency-1-node-baremetal-flannel-CNI
256,0.53,latency-1-node-baremetal-flannel-CNI
512,0.56,latency-1-node-baremetal-flannel-CNI
1024,0.65,latency-1-node-baremetal-flannel-CNI
